,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,background
road,1295,5,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1083
sidewalk,0,565,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1178
building,0,0,1199,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957
wall,0,0,0,174,9,7,0,0,2,3,0,0,0,0,2,0,0,0,0,589
fence,0,8,1,28,449,0,0,0,0,13,0,0,0,0,0,1,0,0,0,1410
pole,0,0,0,1,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,35
traffic light,0,0,0,0,0,0,213,2,0,0,0,0,0,0,0,0,0,0,0,372
traffic sign,0,0,0,0,0,0,2,557,0,0,0,1,0,0,0,0,0,0,0,224
vegetation,0,0,0,0,0,0,0,0,609,22,0,0,0,0,0,0,0,0,0,1264
terrain,0,21,0,2,4,0,0,0,21,165,0,0,0,1,0,0,0,0,0,1041
sky,0,0,0,0,0,0,0,0,0,0,1276,0,0,0,0,0,0,0,0,1125
person,0,0,0,0,0,0,0,0,0,0,0,315,1,0,0,0,0,0,0,274
rider,0,0,0,0,0,0,0,1,0,0,0,3,24,0,0,0,0,0,0,168
car,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,8,3,0,0,0,761
truck,0,0,0,0,0,0,0,0,0,0,0,0,0,3,83,8,0,0,0,355
bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,153,1,0,0,366
train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,43
motorcycle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,82
bicycle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,91
background,52,603,180,408,591,1164,582,603,641,348,98,499,46,162,283,340,77,27,99,101896
